,Labels,TimeStamps
749,['Response: left_1'],1706284792.6621385
750,['Offset Stim2'],1706284792.6621647
751,['Onset Stim2'],1706284793.2243736
752,['Response: left_1'],1706284793.8744874
753,['Offset Stim2'],1706284793.8745189
754,['Onset Stim2'],1706284794.4242356
755,['Response: left_1'],1706284795.0410173
756,['Offset Stim2'],1706284795.041048
757,['Onset Stim2'],1706284795.5908725
758,['Response: left_1'],1706284796.3410249
759,['Offset Stim2'],1706284796.3410532
760,['Onset Stim2'],1706284796.8953032
761,['Response: left_1'],1706284797.5910435
762,['Offset Stim2'],1706284797.5910711
763,['Onset Stim2'],1706284798.1409085
764,['Response: right_1'],1706284798.6246307
765,['Offset Stim2'],1706284798.6246626
766,['Onset Stim2'],1706284799.1783993
767,['Response: right_1'],1706284800.1243906
768,['Offset Stim2'],1706284800.1244206
769,['Onset Stim2'],1706284800.6742318
770,['Response: left_1'],1706284801.278694
771,['Offset Stim2'],1706284801.2787242
772,['Onset Stim2'],1706284801.8408818
773,['Response: left_1'],1706284802.407783
774,['Offset Stim2'],1706284802.4078155
775,['Onset Stim2'],1706284802.9575925
776,['Response: left_1'],1706284803.6954532
777,['Offset Stim2'],1706284803.6954837
778,['Onset Stim2'],1706284804.2578034
779,['Response: left_1'],1706284805.0912526
780,['Offset Stim2'],1706284805.091284
781,['Onset Stim2'],1706284805.6577766
782,['Response: left_1'],1706284806.3412645
783,['Offset Stim2'],1706284806.3412914
784,['Onset Stim2'],1706284806.8910935
785,['Response: right_1'],1706284807.7747092
786,['Offset Stim2'],1706284807.7747366
787,['Onset Stim2'],1706284808.324441
788,['Response: right_1'],1706284808.9579318
789,['Offset Stim2'],1706284808.9579635
790,['Onset Stim2'],1706284809.5076659
791,['Response: right_1'],1706284810.1123235
792,['Offset Stim2'],1706284810.1123545
793,['Onset Stim2'],1706284810.6744492
794,['Response: right_1'],1706284811.3913019
795,['Offset Stim2'],1706284811.3913398
796,['Onset Stim2'],1706284811.9411156
797,['Response: left_1'],1706284812.7746444
798,['Offset Stim2'],1706284812.7746751
799,['Onset Stim2'],1706284813.340962
800,['Response: right_1'],1706284813.991122
801,['Offset Stim2'],1706284813.991159
802,['Onset Stim2'],1706284814.5450864
803,['Response: left_1'],1706284815.191058
804,['Offset Stim2'],1706284815.1910903
805,['Onset Stim2'],1706284815.7411182
806,['Response: right_1'],1706284816.408106
807,['Offset Stim2'],1706284816.4081361
808,['Onset Stim2'],1706284816.9622097
809,['Response: left_1'],1706284817.6078222
810,['Offset Stim2'],1706284817.607853
811,['Onset Stim3'],1706284826.0457501
812,['Response: right_1'],1706284827.0578642
813,['Offset Stim3'],1706284827.0578952
814,['Onset Stim3'],1706284827.6077275
815,['Response: left_1'],1706284828.16233
816,['Offset Stim3'],1706284828.1623602
817,['Onset Stim3'],1706284828.72459
818,['Response: left_1'],1706284829.458047
819,['Offset Stim3'],1706284829.4580722
820,['Onset Stim3'],1706284830.0078902
821,['Response: right_1'],1706284830.6413784
822,['Offset Stim3'],1706284830.6414096
823,['Onset Stim3'],1706284831.1910799
824,['Response: right_1'],1706284831.8745587
825,['Offset Stim3'],1706284831.8745894
826,['Onset Stim3'],1706284832.4288707
827,['Response: right_1'],1706284833.1079078
828,['Offset Stim3'],1706284833.107944
829,['Onset Stim3'],1706284833.6744223
830,['Response: right_1'],1706284834.1912448
831,['Offset Stim3'],1706284834.1912735
832,['Onset Stim3'],1706284834.745507
833,['Response: left_1'],1706284835.4079185
834,['Offset Stim3'],1706284835.4079573
835,['Onset Stim3'],1706284835.958117
836,['Response: left_1'],1706284836.6914525
837,['Offset Stim3'],1706284836.6914835
838,['Onset Stim3'],1706284837.2410865
839,['Response: left_1'],1706284837.857931
840,['Offset Stim3'],1706284837.857967
841,['Onset Stim3'],1706284838.4077442
842,['Response: right_1'],1706284838.9625552
843,['Offset Stim3'],1706284838.962586
844,['Onset Stim3'],1706284839.5245962
845,['Response: left_1'],1706284840.158241
846,['Offset Stim3'],1706284840.1582713
847,['Onset Stim3'],1706284840.7244463
848,['Response: right_1'],1706284841.3292484
849,['Offset Stim3'],1706284841.3292787
850,['Onset Stim3'],1706284841.891138
851,['Response: left_1'],1706284842.4745772
852,['Offset Stim3'],1706284842.474608
853,['Onset Stim3'],1706284843.0244524
854,['Response: right_1'],1706284843.6292717
855,['Offset Stim3'],1706284843.6293032
856,['Onset Stim3'],1706284844.1911688
857,['Response: left_1'],1706284844.774527
858,['Offset Stim3'],1706284844.7745578
859,['Onset Stim3'],1706284845.3244772
860,['Response: right_1'],1706284845.8958297
861,['Offset Stim3'],1706284845.89586
862,['Onset Stim3'],1706284846.4578402
863,['Response: left_1'],1706284846.9914057
864,['Offset Stim3'],1706284846.991436
865,['Onset Stim3'],1706284847.5413222
866,['Response: left_1'],1706284848.3746898
867,['Offset Stim3'],1706284848.374715
868,['Onset Stim3'],1706284848.9413307
869,['Response: right_1'],1706284849.4246485
870,['Offset Stim3'],1706284849.4246786
871,['Onset Stim3'],1706284849.9911478
872,['Response: right_1'],1706284850.658012
873,['Offset Stim3'],1706284850.6580403
874,['Onset Stim3'],1706284851.224685
875,['Response: left_1'],1706284851.9081795
876,['Offset Stim3'],1706284851.9082134
877,['Onset Stim3'],1706284852.4622548
878,['Response: left_1'],1706284853.1582613
879,['Offset Stim3'],1706284853.1583006
880,['Onset Stim3'],1706284853.7078912
881,['Response: left_1'],1706284854.3746905
882,['Offset Stim3'],1706284854.374717
883,['Onset Stim3'],1706284854.9245439
884,['Response: right_1'],1706284855.4580753
885,['Offset Stim3'],1706284855.4581056
